value,description,weight
10,Cropland rainfed,40
11,Herbaceous cover,40
12,Tree or shrub cover,40
20,Cropland irrigated or post-flooding,30
30,Mosaic cropland (>50%) / natural vegetation (tree shrub herbaceous cover) (<50%),60
40,Mosaic natural vegetation (tree shrub herbaceous cover) (>50%) / cropland (<50%) ,70
50,Tree cover broadleaved evergreen closed to open (>15%),100
60,Tree cover broadleaved deciduous closed to open (>15%),100
61,Tree cover broadleaved deciduous closed (>40%),100
62,Tree cover broadleaved deciduous open (15-40%),100
70,Tree cover needleleaved evergreen closed to open (>15%),100
71,Tree cover needleleaved evergreen closed (>40%),100
72,Tree cover needleleaved evergreen open (15-40%),100
80,Tree cover needleleaved deciduous closed to open (>15%),100
81,Tree cover needleleaved deciduous closed (>40%),100
82,Tree cover needleleaved deciduous open (15-40%),100
90,Tree cover mixed leaf type (broadleaved and needleleaved),100
100,Mosaic tree and shrub (>50%) / herbaceous cover (<50%),100
110,Mosaic herbaceous cover (>50%) / tree and shrub (<50%),100
120,Shrubland,100
121,Shrubland evergreen,100
122,Shrubland deciduous,100
130,Grassland,100
140,Lichens and mosses,100
150,Sparse vegetation (tree shrub herbaceous cover) (<15%),100
151,Sparse tree (<15%),100
152,Sparse shrub (<15%),100
153,Sparse herbaceous cover (<15%),100
160,Tree cover flooded fresh or brakish water,100
170,Tree cover flooded saline water,100
180,Shrub or herbaceous cover flooded fresh/saline/brakish water,100
190,Urban areas,0
200,Bare areas,10
201,Consolidated bare areas,10
202,Unconsolidated bare areas,10
210,Water bodies,100
220,Permanent snow and ice,100